videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl
EH6vE97qIP4,"Esto es increíble, lo escribo en español pues soy mexicano, pero realmente me senté en la silla de mi comedor y pude participar de esta clase sobre el blockchain como si estuviera en el MIT, si hace 10 años me hubieran dicho que esto sería posible habría tenido aun más fe en el poder de el internet, digo esto por que estamos aquí hoy preguntándonos ¿que pasara en 10 años mas con esta tecnología del blockchain?, gracias Gary Gensler.",2022-02-06T21:05:30Z,Hiram Zamora,https://yt3.ggpht.com/ytc/AKedOLSBw3m4rkhW-Gkh5yOG9jbpooEBSUeMCth4XE6rNg=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"I like the lecture, I always been a fan of cool professor like you...",2022-02-06T17:24:21Z,ALOK KUMAR SAHU,https://yt3.ggpht.com/ytc/AKedOLTroQ3W3knSzDiOQF_5-izBt-exCDIfghPWcQ=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Can you believe that this professor is now the head of SEC and is trying to block cryptocurrency even though he was teaching about blockchain and cryptocurrency at MIT?,2022-02-06T08:00:20Z,Lam Trinh,https://yt3.ggpht.com/ytc/AKedOLSkN72r1n3W83pi6HBgTpRU2uZRz0LlEVC3sH8K=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,total crypto cap is now 1.5 tn,2022-02-03T15:14:40Z,blackjerms,https://yt3.ggpht.com/KFMdhh-gZrcN1jnUjRNpyIdPh17CVrxtTD5Lo5sNG2HOZtRapU37jH11EgbViu2ZF5-wLpJy=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Screw the banks I'm moving my money to my local credit union!,2022-02-01T23:03:49Z,A Gee,https://yt3.ggpht.com/ytc/AKedOLRgWzWPbX2L8h72eHhabXC3v394loTg623H7Q=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,This is good,2022-01-31T20:54:01Z,Christian Njikonye,https://yt3.ggpht.com/ytc/AKedOLQO7XazH2b7-DkHvhXvpzD0wL3Cqz5TR_8jl-i4Ig=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Oh Gary. I wish you would just approve the ETFs.,2022-01-30T23:48:16Z,Timmy,https://yt3.ggpht.com/ytc/AKedOLRcw5wLz-70eEanbaNzLW6SD5zr3sfwYRYBKtEyO_bkHQ8bwJ6v6pOhfe82-vAA=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Glad MIT recalled of Kenya's Mpesa...beautiful story so far.,2022-01-29T02:43:06Z,GEOFFREY MWENDA KIRUGI,https://yt3.ggpht.com/DgQhPq-ytUZ-LAF5OdOtbASfT8m5bsT94IzERr9EcO2zN0EdZyYbmTdulefBIn_0zD_3NBZf=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"What an extraordinary opportunity to be able to access literally world-class lectures for free at your fingertips...the times we live in, just mind-blowing! - massive respect for MIT for sharing these lecture series with the world!",2022-01-28T14:30:19Z,donParmesan,https://yt3.ggpht.com/Fpge_S1f08jrwBs403tnyYmPdYFiP_CfhN9-Y4eT-aUVMyNvSccQZ4jtU_SRsma2_Q_olCyt0kg=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Money money money,2022-01-27T23:24:25Z,Mac,https://yt3.ggpht.com/ytc/AKedOLRCto49Ph7SXN2ha_ZMIk52PNVGxLyF6jP-VBT9rQ=s48-c-k-c0x00ffffff-no-rj
