publishedAt,authorProfileImageUrl,videoId,authorDisplayName,textDisplay
2017-11-24T13:39:30.000Z,https://yt3.ggpht.com/-IUPu2SeciRE/AAAAAAAAAAI/AAAAAAAAAAA/yLBNQW9i10A/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Bharath Dev,big fan of Crash course. great job guys.
2017-11-24T12:00:00.000Z,https://yt3.ggpht.com/-jREb5ZIzWFw/AAAAAAAAAAI/AAAAAAAAAAA/4CmjZty17PQ/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,MC hacker,In the video where u talk about black holes u said that time would speed up for someone falling in to a black holes but would that mean u could see the black hole that u are falling in to died like black hole supernova and if i was at the a black hole and i was one meter away from the evethorisen could i see the future and get back to Earth i would be dead but could i??
2017-11-24T11:51:31.000Z,https://yt3.ggpht.com/-FJcibPWfDLo/AAAAAAAAAAI/AAAAAAAAAAA/bnz_o2khh_8/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Юлия Федорова,"thank you for the episode! i knew a lot of it, but this video managed to structure everything so neatly that i feel like i understand the topic so much better now :>"
2017-11-24T11:10:36.000Z,https://yt3.ggpht.com/-W89_Pu65MuA/AAAAAAAAAAI/AAAAAAAAAAA/ij90sT9M76E/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Sultan qlifee,"Thank you, I always wanted to know more about this topic 👍"
2017-11-24T10:08:59.000Z,https://yt3.ggpht.com/-1svKcNagJrg/AAAAAAAAAAI/AAAAAAAAAAA/869sBoPor1o/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Nishant Prateek,Quite comprehensive!
2017-11-24T09:08:15.000Z,https://yt3.ggpht.com/-7H9RLZrYS0k/AAAAAAAAAAI/AAAAAAAAAAA/ipHawOVATzE/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Grey Cart,How fitting. The ad for this video was for the Echo.
2017-11-24T08:26:43.000Z,https://yt3.ggpht.com/-7FaAYR3W5Ss/AAAAAAAAAAI/AAAAAAAAAAA/sZTOUxQIsck/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Fræ,is there a video on Databases?
2017-11-24T05:52:42.000Z,https://yt3.ggpht.com/-39l6brvIZLo/AAAAAAAAAAI/AAAAAAAAAAA/E79z5BDvPyY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Noah Browne,Keep calm and Carrie Ann.
2017-11-24T04:44:19.000Z,https://yt3.ggpht.com/-12pnegrkmB4/AAAAAAAAAAI/AAAAAAAAAAA/ASWmwhH-JrA/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,muzamil shah,thats really informative ...thank you sooo much ..keep it up ...
2017-11-24T00:56:54.000Z,https://yt3.ggpht.com/-0ug8Z7LF19A/AAAAAAAAAAI/AAAAAAAAAAA/xO9lTQ5SkO0/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Ahmed Mohamedeen,My TA is preparing PhD on NLP things which brought me to this channel an' boy I'm glad i found it <3
2017-11-24T00:38:51.000Z,https://yt3.ggpht.com/-g-6hDUzpiIc/AAAAAAAAAAI/AAAAAAAAAAA/UCqeWXUwFcE/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,David Durant,And yet I've still never seen a web-based version of Eliza or any other Turing test contender that works using HTML speech recognition and generation. Anyone know of any?
2017-11-24T00:11:07.000Z,https://yt3.ggpht.com/-ElDyAzU1rgk/AAAAAAAAAAI/AAAAAAAAAAA/fl2eGY1Yqg8/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Bernadette Russell,"NLP is ""interdisciplinary"", except companies exclusively hire programmers who think like computers, and leave out the linguists who can bring in the human aspect and funnel Language into organized data to be programmed, and solve challenges others didn't even think of. what people want computers to do, and how to reach that goal, is basically what linguists study. but everyone thinks they're a linguist with knowledge of basic grammar and/or brief high school study of a foreign language -shrug-. keep holding yourself back, science; because only STEM is qualified, apparently. none of that mushy human knowledge, or humanities -- literally human studies -- to make computers/machines/robots better equipped to interact with :humans:. Linguistics is already an incredibly broad term, and is interdisciplinary in itself (Historical Linguistics deals with changes in Language, and specific languages, over time; as well as pronunciation changes, marking what changes were made, and providing a pattern. Syntax is basically mathematics & logic. Psycholinguistics uses neurobiology. and those are only a few of the branches within the study of Linguistics. Linguistics, in the broad, all-encompassing sense is generally deemed a ""humanities"" study, except maybe by MIT)."
2017-11-23T23:17:49.000Z,https://yt3.ggpht.com/-Ifop6Ap-z-I/AAAAAAAAAAI/AAAAAAAAAAA/TJuiqB85Tlc/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Miami Coca Cola,Am I the only one that notice those shadows on her shirt?
2017-11-23T22:36:02.000Z,https://yt3.ggpht.com/-HUiFlMCz4Ic/AAAAAAAAAAI/AAAAAAAAAAA/QAMY_rFPepw/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Gernuts,I identify as a Mongolian leaf and I am confused.
2017-11-23T18:36:25.000Z,https://yt3.ggpht.com/-ozknYtPysPA/AAAAAAAAAAI/AAAAAAAAAAA/DneF-p6FIDY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Beorhthere,"This video, and the last one atleast, has a really annoying static humming sound in it :("
2017-11-23T18:28:44.000Z,https://yt3.ggpht.com/-mW_89hS_7Yc/AAAAAAAAAAI/AAAAAAAAAAA/h_6ptWIdh8M/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Daniel Golding,"Crash Course - English Grammar!@!

Next series please."
2017-11-23T15:06:44.000Z,https://yt3.ggpht.com/-zp4cGf_hne4/AAAAAAAAAAI/AAAAAAAAAAA/RMnUp7dm1zw/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,conjerty,quite enlightning
2017-11-23T13:32:12.000Z,https://yt3.ggpht.com/-Bf0WZcEGKJg/AAAAAAAAAAI/AAAAAAAAAAA/7PvAL954ffM/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Etienne Pesce,"""It wasn't evil, it was efficient"" might be the most terrifiying sentence I've ever heard in my life."
2017-11-23T13:06:07.000Z,https://yt3.ggpht.com/-tnpssQSbBNM/AAAAAAAAAAI/AAAAAAAAAAA/BbQQyHz-oRU/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,ERdiTi123890,There are no superlative adverbs
2017-11-23T13:06:00.000Z,https://yt3.ggpht.com/-Q3DI9noteOw/AAAAAAAAAAI/AAAAAAAAAAA/Wob0rkAsym4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,ProfessorBorax,Esperanto would make this all so much easier :)
2017-11-23T13:01:03.000Z,https://yt3.ggpht.com/-Ox35-2ZUFws/AAAAAAAAAAI/AAAAAAAAAAA/0G97VeccsEA/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Anuel,SHE SAW ME
2017-11-23T12:07:24.000Z,https://yt3.ggpht.com/-BuyNghqNIIU/AAAAAAAAAAI/AAAAAAAAAAA/QuEU64kxzWE/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,jorzallan,This series is so fantastic. I get super excited to hear real-world examples and helps me envision the possibilities in the future.
2017-11-23T10:37:37.000Z,https://yt3.ggpht.com/-U3bb9pCBkIA/AAAAAAAAAAI/AAAAAAAAAAA/FgzHtUCPh6w/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Ali Najdi,Someone is losing weight and looking prettier every episode ;)
2017-11-23T09:42:32.000Z,https://yt3.ggpht.com/-h2qTkFswdJI/AAAAAAAAAAI/AAAAAAAAAAA/jCg8SPFqrc8/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Ulmo,I AM PIZZA
2017-11-23T09:40:23.000Z,https://yt3.ggpht.com/-xXgtwDhJH4E/AAAAAAAAAAI/AAAAAAAAAAA/vS1DAGaMmPo/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Game Player,J.A.R.V.I.S is the best. All hail Tony stark
2017-11-23T09:32:52.000Z,https://yt3.ggpht.com/-4fOLhneNK8k/AAAAAAAAAAI/AAAAAAAAAAA/8P67fHZqc8s/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,QWERTY man,"HTML is allowed to contain errors and will usually run just fine.

edit: 
fyi: html is interpretted, not compiled. The video is still accurate."
2017-11-23T09:11:25.000Z,https://yt3.ggpht.com/-pWbJ0To2kY8/AAAAAAAAAAI/AAAAAAAAAAA/_GJPioJ49SI/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,SuperDropsX,"Little correction: Phonems are from the realm of Phonology, not Phonetics. The corresponding unit from Phonetics is a Phon. The distinction is important, because Phons are a physics based unit while Phonems are a mind based unit. One Phonem can contain many multiple Phons, which are then referred to as Allophones."
2017-11-23T07:23:01.000Z,https://yt3.ggpht.com/--zE2DmBXzCQ/AAAAAAAAAAI/AAAAAAAAAAA/TYRC3lp540k/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Coffee Abernethy,"We've come a long way from ""How about a nice game of chess?"""
2017-11-23T07:11:30.000Z,https://yt3.ggpht.com/-Lw82f3zQ2Vc/AAAAAAAAAAI/AAAAAAAAAAA/4cYfZEtS0N8/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Syruss Burch,If christanity is real then if you worship satan then you will go to hell but is satan is your god then wouldn't that be good? please answer me.
2017-11-23T06:56:18.000Z,https://yt3.ggpht.com/-ViNSRtVIs3o/AAAAAAAAAAI/AAAAAAAAAAA/MU9Mk1A_6fQ/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,alexanderkoller,"Hi, I'm a professor of computational linguistics in Germany. I just wanted to say that your video is one of the best explanations of natural language processing for non-experts that I've ever seen. I'm really impressed - great job!"
